"state_name","district_name","state_code","district_code"
"A & N Islands","Nicobar",35,"603"
"A & N Islands","North & Middle Andaman",35,"632"
"A & N Islands","South Andaman",35,"602"
"Andhra Pradesh","Anantapur",28,"502"
"Andhra Pradesh","Chittoor",28,"503"
"Andhra Pradesh","East Godavari",28,"505"
"Andhra Pradesh","Guntur",28,"506"
"Andhra Pradesh","Kargil",37,"6"
"Andhra Pradesh","Krishna",28,"510"
"Andhra Pradesh","Kurnool",28,"511"
"Andhra Pradesh","Leh",37,"9"
"Andhra Pradesh","Potti Sriramulu Nellore",28,"515"
"Andhra Pradesh","Prakasam",28,"517"
"Andhra Pradesh","Srikakulam",28,"519"
"Andhra Pradesh","Visakhapatnam",28,"520"
"Andhra Pradesh","Vizianagaram",28,"521"
"Andhra Pradesh","West Godavari",28,"523"
"Andhra Pradesh","Y S R Kadapa",28,"504"
"Arunachal Pradesh","Anjaw",12,"628"
"Arunachal Pradesh","Changlang",12,"229"
"Arunachal Pradesh","Dibang Valley",12,"230"
"Arunachal Pradesh","East Kameng",12,"231"
"Arunachal Pradesh","East Siang",12,"232"
"Arunachal Pradesh","Kamle",12,"718"
"Arunachal Pradesh","Kra Daadi",12,"677"
"Arunachal Pradesh","Kurung Kumey",12,"233"
"Arunachal Pradesh","Lepa Rada",12,"724"
"Arunachal Pradesh","Lohit",12,"234"
"Arunachal Pradesh","Longding",12,"666"
"Arunachal Pradesh","Lower Dibang Valley",12,"235"
"Arunachal Pradesh","Lower Siang",12,"719"
"Arunachal Pradesh","Lower Subansiri",12,"236"
"Arunachal Pradesh","Namsai",12,"678"
"Arunachal Pradesh","Pakke Kessang",12,"723"
"Arunachal Pradesh","Papumpare",12,"237"
"Arunachal Pradesh","Shi Yomi",12,"725"
"Arunachal Pradesh","Siang",12,"679"
"Arunachal Pradesh","Tawang",12,"238"
"Arunachal Pradesh","Tirap",12,"239"
"Arunachal Pradesh","Upper Siang",12,"240"
"Arunachal Pradesh","Upper Subansiri",12,"241"
"Arunachal Pradesh","West Kameng",12,"242"
"Arunachal Pradesh","West Siang",12,"243"
"Assam","Baksa",18,"616"
"Assam","Barpeta",18,"280"
"Assam","Biswanath",18,"705"
"Assam","Bongaigaon",18,"281"
"Assam","Cachar",18,"282"
"Assam","Charaideo",18,"708"
"Assam","Chirang",18,"612"
"Assam","Darrang",18,"283"
"Assam","Dhemaji",18,"284"
"Assam","Dhubri",18,"285"
"Assam","Dibrugarh",18,"286"
"Assam","Dima Hasao",18,"299"
"Assam","Goalpara",18,"287"
"Assam","Golaghat",18,"288"
"Assam","Hailakandi",18,"289"
"Assam","Hojai",18,"709"
"Assam","Jorhat",18,"290"
"Assam","Kamrup Metro",18,"618"
"Assam","Kamrup Rural",18,"291"
"Assam","Karbi Anglong",18,"292"
"Assam","Karimganj",18,"293"
"Assam","Kokrajhar",18,"294"
"Assam","Lakhimpur",18,"295"
"Assam","Majuli",18,"706"
"Assam","Marigaon",18,"296"
"Assam","Nagaon",18,"297"
"Assam","Nalbari",18,"298"
"Assam","Sibsagar",18,"300"
"Assam","Sonitpur",18,"301"
"Assam","South Salmara Mancachar",18,"707"
"Assam","Tinsukia",18,"302"
"Assam","Udalguri",18,"617"
"Assam","West Karbi Anglong",18,"710"
"Bihar","Araria",10,"188"
"Bihar","Arwal",10,"611"
"Bihar","Aurangabad",10,"189"
"Bihar","Banka",10,"190"
"Bihar","Begusarai",10,"191"
"Bihar","Bhagalpur",10,"192"
"Bihar","Bhojpur",10,"193"
"Bihar","Buxar",10,"194"
"Bihar","Darbhanga",10,"195"
"Bihar","Gaya",10,"196"
"Bihar","Gopalganj",10,"197"
"Bihar","Jahanabad",10,"199"
"Bihar","Jamui",10,"198"
"Bihar","Kaimur",10,"200"
"Bihar","Katihar",10,"201"
"Bihar","Khagaria",10,"202"
"Bihar","Kishanganj",10,"203"
"Bihar","Lakhisarai",10,"204"
