"state_name","district_name","reg_code"
"Andaman and Nicobar Islands","Nicobars",638
"Andaman and Nicobar Islands","North & Middle Andaman",639
"Andaman and Nicobar Islands","South Andaman",640
"Andhra Pradesh","Anantapur",553
"Andhra Pradesh","Chittoor",554
"Andhra Pradesh","East Godavari",545
"Andhra Pradesh","Guntur",548
"Andhra Pradesh","Krishna",547
"Andhra Pradesh","Kurnool",552
"Andhra Pradesh","Prakasam",549
"Andhra Pradesh","Sri Potti Sriramulu Nellore",550
"Andhra Pradesh","Srikakulam",542
"Andhra Pradesh","Visakhapatnam",544
"Andhra Pradesh","Vizianagaram",543
"Andhra Pradesh","West Godavari",546
"Andhra Pradesh","Y.S.R.",551
"Arunachal Pradesh","Anjaw",260
"Arunachal Pradesh","Changlang",253
"Arunachal Pradesh","Dibang Valley",257
"Arunachal Pradesh","East Kameng",247
"Arunachal Pradesh","East Siang",251
"Arunachal Pradesh","Kurung Kumey",256
"Arunachal Pradesh","Lohit",259
"Arunachal Pradesh","Lower Dibang Valley",258
"Arunachal Pradesh","Lower Subansiri",255
"Arunachal Pradesh","Papumpare",248
"Arunachal Pradesh","Tawang",245
"Arunachal Pradesh","Tirap",254
"Arunachal Pradesh","Upper Siang",252
"Arunachal Pradesh","Upper Subansiri",249
"Arunachal Pradesh","West Kameng",246
"Arunachal Pradesh","West Siang",250
"Assam","Baksa",324
"Assam","Barpeta",303
"Assam","Bongaigaon",319
"Assam","Cachar",316
"Assam","Chirang",320
"Assam","Darrang",325
"Assam","Dhemaji",308
"Assam","Dhubri",301
"Assam","Dibrugarh",310
"Assam","Dima Hasao",315
"Assam","Goalpara",302
"Assam","Golaghat",313
"Assam","Hailakandi",318
"Assam","Jorhat",312
"Assam","Kamrup",321
"Assam","Kamrup Metropolitan",322
"Assam","Karbi Anglong",314
"Assam","Karimganj",317
"Assam","Kokrajhar",300
"Assam","Lakhimpur",307
"Assam","Morigaon",304
"Assam","Nagaon",305
"Assam","Nalbari",323
"Assam","Sivasagar",311
"Assam","Sonitpur",306
"Assam","Tinsukia",309
"Assam","Udalguri",326
"Bihar","Araria",209
"Bihar","Arwal",240
"Bihar","Aurangabad",235
"Bihar","Banka",225
"Bihar","Begusarai",222
"Bihar","Bhagalpur",224
"Bihar","Bhojpur",231
"Bihar","Buxar",232
"Bihar","Darbhanga",215
"Bihar","Gaya",236
"Bihar","Gopalganj",217
"Bihar","Jamui",238
"Bihar","Jehanabad",239
"Bihar","Kaimur (Bhabua)",233
"Bihar","Katihar",212
"Bihar","Khagaria",223
"Bihar","Kishanganj",210
"Bihar","Lakhisarai",227
"Bihar","Madhepura",213
"Bihar","Madhubani",207
"Bihar","Munger",226
"Bihar","Muzaffarpur",216
"Bihar","Nalanda",229
"Bihar","Nawada",237
"Bihar","Pashchim Champaran",203
"Bihar","Patna",230
"Bihar","Purba Champaran",204
"Bihar","Purnia",211
"Bihar","Rohtas",234
"Bihar","Saharsa",214
"Bihar","Samastipur",221
"Bihar","Saran",219
"Bihar","Sheikhpura",228
"Bihar","Sheohar",205
"Bihar","Sitamarhi",206
"Bihar","Siwan",218
"Bihar","Supaul",208
"Bihar","Vaishali",220
"Chandigarh","Chandigarh",55
"Chhattisgarh","Bastar",414
"Chhattisgarh","Bijapur",417
"Chhattisgarh","Bilaspur",406
"Chhattisgarh","Dakshin Bastar Dantewada",416
"Chhattisgarh","Dhamtari",412
"Chhattisgarh","Durg",409
"Chhattisgarh","Janjgir - Champa",405
"Chhattisgarh","Jashpur",402
"Chhattisgarh","Kabirdham",407
"Chhattisgarh","Korba",404
"Chhattisgarh","Korea (Koriya)",400
"Chhattisgarh","Mahasamund",411
"Chhattisgarh","Narayanpur",415
"Chhattisgarh","Raigarh",403
"Chhattisgarh","Raipur",410
"Chhattisgarh","Rajnandgaon",408
"Chhattisgarh","Surguja",401
"Chhattisgarh","Uttar Bastar Kanker",413
"Dadra and Nagar Haveli","Dadra & Nagar Haveli",496
"Daman and Diu","Daman",495
"Daman and Diu","Diu",494
"Delhi","Central",95
"Delhi","East",93
"Delhi","New Delhi",94
"Delhi","North",91
"Delhi","North East",92
"Delhi","North West",90
"Delhi","South",98
"Delhi","South West",97
"Delhi","West",96
"Goa","North Goa",585
"Goa","South Goa",586
"Gujarat","Ahmadabad",474
"Gujarat","Amreli",480
"Gujarat","Anand",482
"Gujarat","Banaskantha",469
"Gujarat","Bharuch",488
"Gujarat","Bhavnagar",481
"Gujarat","Dohad",485
"Gujarat","Gandhinagar",473
"Gujarat","Jamnagar",477
"Gujarat","Junagadh",479
"Gujarat","Kachchh",468
"Gujarat","Kheda",483
"Gujarat","Mahesana",471
"Gujarat","Narmada",487
"Gujarat","Navsari",490
"Gujarat","Panchmahal",484
"Gujarat","Patan",470
"Gujarat","Porbandar",478
"Gujarat","Rajkot",476
"Gujarat","Sabarkantha",472
"Gujarat","Surat",492
"Gujarat","Surendranagar",475
"Gujarat","Tapi",493
"Gujarat","The Dangs",489
"Gujarat","Vadodara",486
"Gujarat","Valsad",491
"Haryana","Ambala",70
"Haryana","Bhiwani",81
"Haryana","Faridabad",88
"Haryana","Fatehabad",78
"Haryana","Gurgaon",86
"Haryana","Hisar",80
"Haryana","Jhajjar",83
"Haryana","Jind",77
"Haryana","Kaithal",73
"Haryana","Karnal",74
"Haryana","Kurukshetra",72
"Haryana","Mahendragarh",84
"Haryana","Mewat",87
"Haryana","Palwal",89
"Haryana","Panchkula",69
"Haryana","Panipat",75
"Haryana","Rewari",85
"Haryana","Rohtak",82
"Haryana","Sirsa",79
"Haryana","Sonipat",76
"Haryana","Yamunanagar",71
"Himanchal Pradesh","Bilaspur",30
"Himanchal Pradesh","Chamba",23
"Himanchal Pradesh","Hamirpur",28
"Himanchal Pradesh","Kangra",24
"Himanchal Pradesh","Kinnaur",34
"Himanchal Pradesh","Kullu",26
"Himanchal Pradesh","Lahul and Spiti",25
"Himanchal Pradesh","Mandi",27
"Himanchal Pradesh","Shimla",33
"Himanchal Pradesh","Sirmaur",32
"Himanchal Pradesh","Solan",31
"Himanchal Pradesh","Una",29
"Jammu & Kashmir","Anantnag",14
"Jammu & Kashmir","Badgam",2
"Jammu & Kashmir","Bandipore",9
"Jammu & Kashmir","Baramula",8
"Jammu & Kashmir","Doda",16
"Jammu & Kashmir","Ganderbal",11
"Jammu & Kashmir","Jammu",21
"Jammu & Kashmir","Kargil",4
"Jammu & Kashmir","Kathua",7
"Jammu & Kashmir","Kishtwar",18
"Jammu & Kashmir","Kulgam",15
"Jammu & Kashmir","Kupwara",1
"Jammu & Kashmir","Leh",3
"Jammu & Kashmir","Mirpur",641
"Jammu & Kashmir","Muzaffarabad",642
"Jammu & Kashmir","Pulwama",12
"Jammu & Kashmir","Punch",5
"Jammu & Kashmir","Rajouri",6
"Jammu & Kashmir","Ramban",17
"Jammu & Kashmir","Reasi",20
"Jammu & Kashmir","Samba",22
"Jammu & Kashmir","Shupiyan",13
"Jammu & Kashmir","Srinagar",10
"Jammu & Kashmir","Udhampur",19
"Jharkhand","Bokaro",355
"Jharkhand","Chatra",347
"Jharkhand","Deoghar",350
"Jharkhand","Dhanbad",354
"Jharkhand","Dumka",362
"Jharkhand","Garhwa",346
"Jharkhand","Giridih",349
"Jharkhand","Godda",351
"Jharkhand","Gumla",366
"Jharkhand","Hazaribagh",360
"Jharkhand","Jamtara",363
"Jharkhand","Khunti",365
"Jharkhand","Kodarma",348
"Jharkhand","Latehar",359
"Jharkhand","Lohardaga",356
"Jharkhand","Pakur",353
"Jharkhand","Palamu",358
"Jharkhand","Pashchimi Singhbhum",368
"Jharkhand","Purbi Singhbhum",357
"Jharkhand","Ramgarh",361
"Jharkhand","Ranchi",364
"Jharkhand","Sahibganj",352
"Jharkhand","Saraikela Kharsawan",369
"Jharkhand","Simdega",367
"Karnataka","Bagalkot",556
"Karnataka","Bangalore",572
"Karnataka","Bangalore Rural",583
