state_name,district_name,nss_region,nss_region_code,NSSO,nsso_district_name,state_nsso_region
Andaman & Nicobar Islands,Nicobars,Andaman & Nicobar Islands,351,TRUE,Nicobars,Andaman & Nicobar Islands - Andaman & Nicobar Islands
Andaman & Nicobar Islands,North&Middleandaman,Andaman & Nicobar Islands,351,TRUE,North & Middle Andaman,Andaman & Nicobar Islands - Andaman & Nicobar Islands
Andaman & Nicobar Islands,Southandaman,Andaman & Nicobar Islands,351,TRUE,South Andaman,Andaman & Nicobar Islands - Andaman & Nicobar Islands
Andhra Pradesh,Anantapur,Inland Southern,283,TRUE,Anantapur,Andhra Pradesh - Inland Southern
Andhra Pradesh,Chittoor,Inland Southern,283,TRUE,Chittoor,Andhra Pradesh - Inland Southern
Andhra Pradesh,Eastgodavari,Coastal Northern,281,TRUE,East Godavari,Andhra Pradesh - Coastal Northern
Andhra Pradesh,Guntur,Coastal Southern,282,TRUE,Guntur,Andhra Pradesh - Coastal Southern
Andhra Pradesh,Krishna,Coastal Southern,282,TRUE,Krishna,Andhra Pradesh - Coastal Southern
Andhra Pradesh,Kurnool,Inland Southern,283,TRUE,Kurnool,Andhra Pradesh - Inland Southern
Andhra Pradesh,Prakasam,Coastal Southern,282,TRUE,Prakasam,Andhra Pradesh - Coastal Southern
Andhra Pradesh,Sripottisriramulunellore,Coastal Southern,282,TRUE,Sri Potti Sriramulu Nellore,Andhra Pradesh - Coastal Southern
Andhra Pradesh,Srikakulam,Coastal Northern,281,TRUE,Srikakulam,Andhra Pradesh - Coastal Northern
Andhra Pradesh,Visakhapatnam,Coastal Northern,281,TRUE,Visakhapatnam,Andhra Pradesh - Coastal Northern
Andhra Pradesh,Vizianagaram,Coastal Northern,281,TRUE,Vizianagaram,Andhra Pradesh - Coastal Northern
Andhra Pradesh,Westgodavari,Coastal Northern,281,TRUE,West Godavari,Andhra Pradesh - Coastal Northern
Andhra Pradesh,Y.s.r.(Cuddapah),Inland Southern,283,TRUE,Y.S.R. (Cuddapah),Andhra Pradesh - Inland Southern
Arunachal Pradesh,Anjaw,Arunachal Pradesh,121,TRUE,Anjaw,Arunachal Pradesh - Arunachal Pradesh
Arunachal Pradesh,Changlang,Arunachal Pradesh,121,TRUE,Changlang,Arunachal Pradesh - Arunachal Pradesh
Arunachal Pradesh,Dibangvalley,Arunachal Pradesh,121,TRUE,Dibang Valley,Arunachal Pradesh - Arunachal Pradesh
