state_name,district_name,% of people with high blood sugar
Andaman & Nicobar Islands,Nicobar,2.5
Andaman & Nicobar Islands,Nicobar,4
Andaman & Nicobar Islands,North & Middle Andaman,9
Andaman & Nicobar Islands,North & Middle Andaman,19.8
Andaman & Nicobar Islands,South Andaman,10.1
Andaman & Nicobar Islands,South Andaman,16.4
Andhra Pradesh,Anantapur,6.9
Andhra Pradesh,Anantapur,8.9
Andhra Pradesh,Chittoor,9
Andhra Pradesh,Chittoor,8.9
Andhra Pradesh,East Godavari,7.1
Andhra Pradesh,East Godavari,12.9
Andhra Pradesh,Guntur,9.3
Andhra Pradesh,Guntur,19
Andhra Pradesh,Krishna,12.5
Andhra Pradesh,Krishna,4.9
Andhra Pradesh,Kurnool,5.2
Andhra Pradesh,Kurnool,2.4
Andhra Pradesh,Prakasam,8.2
Andhra Pradesh,Prakasam,5
Andhra Pradesh,Sri Potti Sriramulu Nellore,9.5
Andhra Pradesh,Sri Potti Sriramulu Nellore,6.3
Andhra Pradesh,Srikakulam,8.3
Andhra Pradesh,Srikakulam,12.4
Andhra Pradesh,Visakhapatnam,6.6
Andhra Pradesh,Visakhapatnam,7.4
Andhra Pradesh,Vizianagaram,7.4
Andhra Pradesh,Vizianagaram,12
Andhra Pradesh,West Godavari,7.6
Andhra Pradesh,West Godavari,9.9
Andhra Pradesh,Y.S.R. Cuddapah,8.4
Andhra Pradesh,Y.S.R. Cuddapah,18.2
Arunachal Pradesh,Anjaw,4.5
Arunachal Pradesh,Anjaw,8.8
Arunachal Pradesh,Changlang,7.2
Arunachal Pradesh,Changlang,14.9
Arunachal Pradesh,Dibang Valley,7.7
Arunachal Pradesh,Dibang Valley,5.3
Arunachal Pradesh,East Kameng,4.8
Arunachal Pradesh,East Kameng,10.9
Arunachal Pradesh,East Siang,8.1
Arunachal Pradesh,East Siang,9.1
Arunachal Pradesh,Kurung Kumey,3.2
Arunachal Pradesh,Kurung Kumey,5
Arunachal Pradesh,Lohit,4.3
Arunachal Pradesh,Lohit,5.7
Arunachal Pradesh,Lower Dibang Valley,3.1
Arunachal Pradesh,Lower Dibang Valley,8.4
Arunachal Pradesh,Lower Subansiri,4.5
Arunachal Pradesh,Lower Subansiri,5.1
Arunachal Pradesh,Papumpare,4.6
Arunachal Pradesh,Papumpare,6.2
Arunachal Pradesh,Tawang,3.4
Arunachal Pradesh,Tawang,3.7
Arunachal Pradesh,Tirap,3.9
Arunachal Pradesh,Tirap,6.2
Arunachal Pradesh,Upper Siang,6.2
Arunachal Pradesh,Upper Siang,12
Arunachal Pradesh,Upper Subansiri,5.7
Arunachal Pradesh,Upper Subansiri,7.9
Arunachal Pradesh,West Kameng,3.1
Arunachal Pradesh,West Kameng,3.1
Arunachal Pradesh,West Siang,4.3
Arunachal Pradesh,West Siang,5.2
Assam,Baksa,5.5
Assam,Baksa,7
Assam,Barpeta,5.4
Assam,Barpeta,6.3
Assam,Bongaigaon,4.1
Assam,Bongaigaon,5.9
Assam,Cachar,2
Assam,Cachar,1.4
Assam,Chirang,5.9
Assam,Chirang,7.1
Assam,Darrang,5.5
Assam,Darrang,9.1
Assam,Dhemaji,6.4
Assam,Dhemaji,10.3
Assam,Dhubri,3.2
Assam,Dhubri,3.5
Assam,Dibrugarh,4.5
Assam,Dibrugarh,7.2
Assam,Dima Hasao,5
Assam,Dima Hasao,4.6
Assam,Goalpara,3.1
Assam,Goalpara,4.3
Assam,Golaghat,6.6
Assam,Golaghat,13.8
Assam,Hailakandi,4.3
Assam,Hailakandi,3.9
Assam,Jorhat,5.6
Assam,Jorhat,8
Assam,Kamrup,4
Assam,Kamrup,2.8
Assam,Kamrup Metropolitan,6.5
Assam,Kamrup Metropolitan,4.3
Assam,Karbi Anglong,4.3
Assam,Karbi Anglong,8.8
Assam,Karimganj,5.3
Assam,Karimganj,4
Assam,Kokrajhar,6.2
Assam,Kokrajhar,7.8
Assam,Lakhimpur,7.1
Assam,Lakhimpur,12.6
Assam,Morigaon,7.5
Assam,Morigaon,8.2
Assam,Nagaon,7.2
Assam,Nagaon,6.2
Assam,Nalbari,4.8
Assam,Nalbari,5
Assam,Sivasagar,7.5
Assam,Sivasagar,8.1
Assam,Sonitpur,5.9
Assam,Sonitpur,8.2
Assam,Tinsukia,3.9
Assam,Tinsukia,8.6
Assam,Udalguri,3.5
Assam,Udalguri,7
Bihar,Araria,4.2
Bihar,Araria,6.7
Bihar,Arwal,4.3
Bihar,Arwal,7.6
Bihar,Aurangabad,5.4
Bihar,Aurangabad,17.6
Bihar,Banka,3.8
Bihar,Banka,7.6
Bihar,Begusarai,2.4
Bihar,Begusarai,4
Bihar,Bhagalpur,3.9
Bihar,Bhagalpur,3
Bihar,Bhojpur,4.2
Bihar,Bhojpur,7
Bihar,Buxar,4
Bihar,Buxar,5
Bihar,Darbhanga,4.7
Bihar,Darbhanga,2.4
Bihar,Gaya,4
Bihar,Gaya,5.1
Bihar,Gopalganj,5.9
Bihar,Gopalganj,3.1
Bihar,Jamui,2.9
Bihar,Jamui,3.8
Bihar,Jehanabad,5.1
Bihar,Jehanabad,5.9
Bihar,Kaimur,6.3
Bihar,Kaimur,5.9
Bihar,Katihar,5.2
Bihar,Katihar,5.3
Bihar,Khagaria,3.2
Bihar,Khagaria,4.4
Bihar,Kishanganj,4.7
Bihar,Kishanganj,13.7
Bihar,Lakhisarai,2.7
Bihar,Lakhisarai,4.6
Bihar,Madhepura,4.6
Bihar,Madhepura,5.7
Bihar,Madhubani,2.4
Bihar,Madhubani,3.4
Bihar,Munger,3.9
Bihar,Munger,8.4
Bihar,Muzaffarpur,3.7
Bihar,Muzaffarpur,14.1
Bihar,Nalanda,2.9
Bihar,Nalanda,4
Bihar,Nawada,5
Bihar,Nawada,7.6
Bihar,Pashchim Champaran,4.2
Bihar,Pashchim Champaran,6.2
Bihar,Patna,3.9
Bihar,Patna,6.5
Bihar,Purba Champaran,5.8
Bihar,Purba Champaran,10.8
Bihar,Purnia,4
Bihar,Purnia,4.2
Bihar,Rohtas,5.1
Bihar,Rohtas,5.3
Bihar,Saharsa,3.8
Bihar,Saharsa,3.8
Bihar,Samastipur,2.4
Bihar,Samastipur,11.8
Bihar,Saran,5.6
Bihar,Saran,8.7
Bihar,Sheikhpura,3.3
Bihar,Sheikhpura,4.7
Bihar,Sheohar,6.2
Bihar,Sheohar,7.7
Bihar,Sitamarhi,4.3
Bihar,Sitamarhi,6.7
Bihar,Siwan,4.7
