state_name,district_name,% of people with high blood sugar level
Andaman & Nicobar Islands,Nicobars,15.4
Andaman & Nicobar Islands,North & Middle Andaman,18.3
Andaman & Nicobar Islands,South Andaman,18.1
Andhra Pradesh,Srikakulam,17.6
Andhra Pradesh,Vizianagaram,14.5
Andhra Pradesh,Visakhapatnam,18.2
Andhra Pradesh,East Godavari,27.6
Andhra Pradesh,West Godavari,18.9
Andhra Pradesh,Krishna,22.5
Andhra Pradesh,Guntur,25.9
Andhra Pradesh,Prakasam,30.2
Andhra Pradesh,Sri Potti Sriramulu Nello,21.1
Andhra Pradesh,Y.S.R.,22.3
Andhra Pradesh,Kurnool,20.6
Andhra Pradesh,Anantapur,16.8
Andhra Pradesh,Chittoor,22.4
Arunachal Pradesh,Tawang,8.5
Arunachal Pradesh,West Kameng,10
Arunachal Pradesh,East Kameng,13.9
Arunachal Pradesh,Papum Pare,12.8
Arunachal Pradesh,Upper Subansiri,10.6
Arunachal Pradesh,Upper Siang,10.3
Arunachal Pradesh,Changlang,13.2
Arunachal Pradesh,Lower Subansiri,14.2
Arunachal Pradesh,Dibang Valley,12.2
Arunachal Pradesh,Lower Dibang Valley,13.2
Arunachal Pradesh,Anjaw,18.3
Arunachal Pradesh,East Siang,12.7
Arunachal Pradesh,Kra Daadi,5.7
Arunachal Pradesh,Kurung Kumey,10.3
Arunachal Pradesh,Lohit,9.1
Arunachal Pradesh,Longding,14.5
Arunachal Pradesh,Namsai,12
Arunachal Pradesh,Siang,9.4
Arunachal Pradesh,Tirap,10.9
Arunachal Pradesh,West Siang,11.2
Assam,Kokrajhar,13.2
Assam,Goalpara,13.2
Assam,Barpeta,17
Assam,Morigaon,14.2
Assam,Lakhimpur,9.4
Assam,Dhemaji,13.3
Assam,Tinsukia,19.5
Assam,Dibrugarh,19.2
Assam,Golaghat,14.4
Assam,Dima Hasao,13.3
Assam,Cachar,14.4
Assam,Karimganj,15.2
Assam,Hailakandi,18.9
Assam,Bongaigaon,15
Assam,Chirang,13.3
Assam,Kamrup,19.6
Assam,Kamrup Metropolitan,20.3
Assam,Nalbari,20.9
Assam,Baksa,16.1
Assam,Darrang,14.2
Assam,Udalguri,18
Assam,Biswanath,10.4
Assam,Charaideo,14.9
Assam,Dhubri,10.4
Assam,Hojai,16.5
Assam,Jorhat,19
Assam,Karbi Anglong,14.6
Assam,Majuli,14.9
Assam,Nagaon,21.4
Assam,Sivasagar,17.2
Assam,Sonitpur,11.1
Assam,South Salmara Mancachar,12
Assam,West Karbi Anglong,12.2
Bihar,Pashchim Champaran,13.4
Bihar,Purba Champaran,16.4
Bihar,Sheohar,13.9
Bihar,Sitamarhi,14.6
Bihar,Madhubani,20
Bihar,Supaul,15.6
Bihar,Araria,18.8
Bihar,Kishanganj,17
Bihar,Purnia,21.4
Bihar,Katihar,19.6
Bihar,Madhepura,16.9
Bihar,Saharsa,16.5
Bihar,Darbhanga,19.3
Bihar,Muzaffarpur,16.4
Bihar,Gopalganj,10.1
Bihar,Siwan,15.7
Bihar,Saran,18.1
Bihar,Vaishali,17.1
Bihar,Samastipur,15.9
Bihar,Begusarai,15.8
Bihar,Khagaria,21.7
Bihar,Bhagalpur,16.3
Bihar,Banka,16.9
Bihar,Munger,21.8
Bihar,Lakhisarai,17.8
Bihar,Sheikhpura,11.1
Bihar,Nalanda,13.6
Bihar,Patna,19.9
Bihar,Bhojpur,17
Bihar,Buxar,11.5
Bihar,Kaimur (Bhabua),10.3
Bihar,Rohtas,13.5
Bihar,Aurangabad,14.1
Bihar,Gaya,11.4
Bihar,Nawada,11.7
Bihar,Jamui,15.1
Bihar,Jehanabad,16
Bihar,Arwal,15.9
Chandigarh,Chandigarh,16.6
Chhattisgarh,Koriya,14.6
Chhattisgarh,Jashpur,10.4
Chhattisgarh,Raigarh,13.4
Chhattisgarh,Korba,10.2
Chhattisgarh,Janjgir - Champa,11.2
Chhattisgarh,Kabeerdham,9.4
Chhattisgarh,Rajnandgaon,8.2
